---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 12-5  2.435e+02  [-44 5.624e-03 3.241e-03 3.846e-01]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 13-1  2.476e+02  [0 1.000e+00 4.772e-01 2.470e-03]  !9 -1 91!  WARNING: The linear system solution has not converged
 NS 13-2  2.524e+02  [-17 1.315e-01 6.276e-02 1.405e-02]  !9 0 92!  WARNING: The linear system solution has not converged
 NS 13-3  2.588e+02  [-33 2.069e-02 9.873e-03 7.329e-02]  !9 0 93!  WARNING: The linear system solution has not converged
 NS 13-4  2.627e+02  [-48 3.568e-03 1.702e-03 3.201e-01]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 13-5  2.668e+02  [-56 1.468e-03 7.005e-04 9.674e-01]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 14-1  2.709e+02  [0 1.000e+00 4.979e-01 2.740e-03]  !9 0 92!  WARNING: The linear system solution has not converged
 NS 14-2  2.748e+02  [-18 1.174e-01 5.847e-02 1.830e-02]  !9 0 92!  WARNING: The linear system solution has not converged
 NS 14-3  2.791e+02  [-34 1.885e-02 9.387e-03 1.098e-01]  !9 0 92!  WARNING: The linear system solution has not converged
 NS 14-4  2.836e+02  [-48 3.705e-03 1.845e-03 3.759e-01]  !9 0 92!  WARNING: The linear system solution has not converged
 NS 14-5  2.883e+02  [-53 2.122e-03 1.056e-03 3.892e-01]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 15-1  2.916e+02  [0 1.000e+00 4.618e-01 9.762e-04]  [7 -1 87]
 NS 15-2  2.955e+02  [-18 1.184e-01 5.467e-02 6.686e-03]  !9 -1 91!  WARNING: The linear system solution has not converged
 NS 15-3  2.993e+02  [-34 1.833e-02 8.462e-03 2.815e-02]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 15-4  3.032e+02  [-51 2.605e-03 1.203e-03 1.626e-01]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 15-5  3.071e+02  [-63 6.846e-04 3.161e-04 4.617e-01]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 16-1  3.112e+02  [0 1.000e+00 4.555e-01 1.079e-03]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 16-2  3.153e+02  [-18 1.136e-01 5.176e-02 1.002e-02]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 16-3  3.198e+02  [-35 1.748e-02 7.964e-03 4.033e-02]  !9 -1 91!  WARNING: The linear system solution has not converged
 NS 16-4  3.238e+02  [-52 2.406e-03 1.096e-03 2.080e-01]  !9 0 92!  WARNING: The linear system solution has not converged
 NS 16-5  3.279e+02  [-63 6.638e-04 3.023e-04 9.443e-01]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 17-1  3.303e+02  [0 1.000e+00 4.459e-01 9.811e-04]  [5 -4 86]
 NS 17-2  3.341e+02  [-19 1.117e-01 4.980e-02 6.083e-03]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 17-3  3.381e+02  [-35 1.650e-02 7.358e-03 2.989e-02]  !9 -1 91!  WARNING: The linear system solution has not converged
 NS 17-4  3.420e+02  [-53 2.210e-03 9.854e-04 1.472e-01]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 17-5  3.460e+02  [-64 5.700e-04 2.542e-04 4.762e-01]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 18-1  3.486e+02  [0 1.000e+00 4.368e-01 8.918e-04]  [5 -4 86]
 NS 18-2  3.545e+02  [-19 1.082e-01 4.726e-02 4.396e-03]  !9 -1 91!  WARNING: The linear system solution has not converged
 NS 18-3  3.597e+02  [-35 1.614e-02 7.049e-03 2.067e-02]  !9 0 92!  WARNING: The linear system solution has not converged
 NS 18-4  3.650e+02  [-53 2.115e-03 9.236e-04 1.269e-01]  !9 0 94!  WARNING: The linear system solution has not converged
 NS 18-5  3.714e+02  [-66 4.527e-04 1.977e-04 4.992e-01]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 19-1  3.758e+02  [0 1.000e+00 4.257e-01 6.551e-04]  [5 -4 89]
